P2-K108,CONNECTION 9 OPEN NORMAL,,Y033
P2-L571,P18 AGV FAULT,,
P2-L48D,CHG1 CHARGER FAULT CODE2,,
P2-L04C,STOP POS.5 AGV ALARM,,
P2-L07F,STOP POS.8 DESTINATION INSTRUCTIONS DEMAND,,
P2-L0D1,STOP POS.14 UNLOADING OK OK,,
P2-L1F2,STOP POS.32 AGV ENTERING,,
P2-L7A8,MANUAL OPERATION SELECT 41,,
P2-L030,STOP POS.4 LOADING OK,,
P2-L096,STOP POS.10 AGV PRESENCE,,
P2-L140,STOP POS.21 LOADING OK,,
P2-L14A,STOP POS.21 AGV AUTORUNNING,,
P2-L162,STOP POS.23 AGV ENTERING,,
P2-L1E0,STOP POS.31 LOADING OK,,
P2-L073,STOP POS.8 AGV ENTERING COMPLETED,,
P2-L150,STOP POS.22 LOADING OK,,
P2-L061,STOP POS.7 UNLOADING OK OK,,
P2-L19D,STOP POS.26 AGV LOW BATTERY,,
P2-L7AF,MANUAL OPERATION SELECT 48,,
P2-L6B7,PROCESS I/L-4 ,,
P3-L390,MACHINING COMPLETED PL(R/B-17),,L01A
P3-L7B3,ê∂éw-ÀﬁºﬁÆ›è∆çáOK(âÊñ ),,L18D
P3-L746,ó\îı,,
P3-L207,P1-L8COMMUNICATION ALARM PL,,
P3-L7C3,EX-PROC. SELECTED,,L083
P3-L5D6,TIP EXCHANGE TIME -7,,
P3-L459,FAULT E2 PL,,
P3-L6E5,ALARM SCREEN PL56,,L141
P3-L601,BATTERY VOLTAGE DECREASE PL,,
P3-L436,FAULT F7 PL,,
P3-L5DE,TIP EXCHANGE MANU. -7,,L0A5
P3-L6C1,ALARM SCREEN PL12,,
P3-L467,P1-L8 COMMUNICATION ALARM PL,,
P3-L44F,FAULT D2 PL,,
P3-L43E,FAULT B5 PL,,L060
P3-L2AD,R/B-14 TIP FORMING ON,,Y74E
P3-L225,P3-L6COMMUNICATION ALARM PL,,X73A
P3-L730,UB-PLT INDI.(P3-L730) ,,
P3-L6DB,ALARM SCREEN PL44,,L13B
P3-L6D1,ALARM SCREEN PL32,,
P3-L642,√›∑∞ãNìÆÀﬁØƒ,,
P3-L400,WORK PIECE SETTING ALARM PL,,
P3-L367,HOME POSITION PL(R/B-8),,
P3-L4C0,WELDING TIMERS 1-8 IN DISCONNECTED STATE,,
P3-L0F7,CHENGE SCREEN a4,,
P3-L650,Standard 5 interlock state display PL,,L10B
P3-L540,1’∆Øƒé≤ç\ê¨,,X48E
P3-L276,TERMINAL6 PL,,X708
P3-L593,DEVICE SELECTED (K),,X72D
P3-L04D,The abnormalities in jig synthesis,,
P3-L482,P3-L3 COMMUNICATION ALARM PL,,
P3-L5A7,SELECT EXPANSION DEVICE (GM),,Y43E
P3-L38A,MACHINING COMPLETED PL(R/B-11),,L0FF
P3-L160,MANUAL (2/3) RIGHT END PL,,
P1-L048,1st R TOWER LIGHT LIGHTING CONDITION,,
P1-L050,2st BETWEEN 1-2ST(UPPER) L/C STOP,,
P1-L05E,2st TOYOPUC-PCS RMT FAN2 NORMAL,,
P1-L07F,4st READBACK FAULT,,
P1-L0AA,7st L TOWER LIGHT LIGHTING CONDITION,,
P1-L0B6,8st POWER OFF CONFIRM,,
P1-L0D1,10st BETWEEN 9-10ST(LOWER) L/C STOP,,
P1-L0E3,EX-PROC. EMERGENCY STOP,,
P1-L0EF,EX-PROC. ALL STOP(PB+SP),,
P1-L0F3,8st OPERATOR EVEN SIDE L/C INPUT,,
P1-L151,3st LUGE LOCK OUT COMM.(MANUAL),,
P1-L161,3st LOWER FRICTION REVERSE ROTATE COMM.,,
P1-L173,4st UPPER FRICTION MIDDLE SPEED COMM.,,
P1-L188,5st UPPER FRICTION NORMAL ROTATE COMM.,,
P1-L1A1,6st UPPER FRICTION REVERSE ROTATE COMM.,,
P1-L1B1,7st LUGE LOCK OUT COMM.(MANUAL),,
P1-L1D0,8st UPPER FRICTION NORMAL ROTATE COMM.,,
P1-L1DA,8st LOWER FRICTION HIGH SPEED COMM.,,
P1-L211,JIG HOME POSITION(1st),,
P1-L21F,ENDURANCE PREPARATION(1st),,
P1-L224,FRICTION FIXED POSITION(1st),,
P1-L252,FRICTION INVERTER CUT OFF(1st),,
P1-L261,JIG HOME POSITION(2st),,
P1-L275,LUGE LOCK IN END(2st),,
P1-L2A2,UPPER FRICTION INVERTER CUT OFF(2st),,
P1-L2B7,FRICTION OVER RUN(3st),,
P1-L2F0,UPPER FRICTION INVERTER FAULT(3st),,
P1-L310,TIP REVISION INSTRUCTION ON CONF.(4st),,
P1-L31C,LOWER FRICTION FIXED POSITION(4st),,
P1-L323,EVEN No. ROBOT OP. COMPLETED(4st),,
P1-L33F,FAULT RESET/BUZZER RESET(4st),,
P1-L357,FRICTION OVER RUN(5st),,
P1-L362,UPPER FRICTION LOW SPEED POSITION(5st),,
P1-L386,LOWER FRICTION INVERTER OFF CONDITION(5st),,
P1-L3A7,FRICTION OVER RUN(6st),,
P1-L3C7,EVEN No. ROBOT NO INTERFERENCE(6st),,
P1-L3CD,ODD No. ROBOT FAILURE(6st),,
P1-L3D0,DEVICE NORMAL(6st),,
P1-L3F6,COMMUNICATION FAULT(7st),,
P1-L401,UPPER FRICTION CONFIRM 1(7st),,
P1-L415,EVEN No. ROBOT FAILURE(7st),,
P1-L432,UPPER FRICTION INVERTER CUT OFF(7st),,
P1-L444,LUGE EXIST(8st),,
P1-L466,EVEN No. ROBOT STEP UP COMPLETED(8st),,
P1-L471,MASTER ON COMPLETED(8st),,
P1-L483,LOWER FRICTION INVERTER CUT OFF(8st),,
P1-L499,LUGE LOADING OK(9st),,
P1-L49B,NO LUGE(9st),,
P1-L4A6,LUGE LOCK OUT END(9st),,
P1-L4B7,EVEN No. ROBOT NO INTERFERENCE(9st),,
P1-L4E8,AUTOMATIC RUNNING(10st),,
P1-L503,EVEN No. ROBOT OP. COMPLETED(10st),,
P1-L522,FRICTION INVERTER CUT OFF(10st),,
P1-L530,ANDON ON TO STATION #8,,
P1-X000,AUTO,,X000
P1-X00A,PRODUCTION INDICATION OFF(UBR1-2),,X00A
P1-X010,PBL1,,Y010
P1-X022,START/RESTART,,X022
P1-X035,AUTOMATIC RUNNING,,Y035
P1-X041,FOR ENDURANCE,,X041
P1-X05F,,,Y05F
P1-X065,UNLINKING SWITCH 6,,X065
P1-X06B,UNLINKING SWITCH 12,,X06B
P1-X086,,,Y086
P1-X08C,,,Y08C
P1-X0B1,ROBOT HOME POSITION(No.9),,
P1-X405,CAR TYPE CODE BCD 20,,X405
P1-X40B,SPARE,,X40B
P1-X41B,NO USE,,X41B
P1-X427,CAR TYPE CODE BCD 80,,Y427
P1-X42F,ID 15,,Y42F
P1-X430,ADDRESS 0,,Y430
P1-X454,RAIL LOCK IN END 2,,X454
P1-X46D,AGV LOCK UNLOCK,,Y46D
P1-X471,AGV LASER SCANNER REDUCE COMMAND 2,,Y471
P1-X481,UB-TR. CAR TYPE BCD2,,X481
P1-X4A9,UB-TR. ID 9,,Y4A9
P1-X501,VISION-A RUN,,X501
P1-X534,,,Y534
P1-X542,VISION-B BUSY,,X542
P1-X554,VISION-B D04 JUDGMENT RESULT INPUT,,X554
P1-X55E,VISION-B D014 JUDGMENT RESULT INPUT,,X55E
P1-X565,,,X565
P1-X56B,,,X56B
P1-X571,VISION-B SCENE No.CHAGE BIN 2,,Y571
P1-X57B,VISION-B LIGHT ON CAMERA B,,Y57B
P1-X70B,UPPER FRICTION INV. NET SIGNAL,,X70B
P1-X711,UPPER FRICTION INV. ALARM CODE,,X711
P1-X724,UPPER FRICTION INV. OUTPUT FREQUENCY MONITOR,,X724
P1-X756,,,Y756
P1-X75C,,,Y75C
P1-X761,UPPER FRICTION INV. SET FREQUENCY,,Y761
P1-X76F,UPPER FRICTION INV. SET FREQUENCY,,Y76F
P1-X003,AUTO/INDIVIDUAL,,X003
P1-X011,PBL2,,Y011
P1-X01D,,,Y01D
P1-X021,START PREPARATION,,X021
P1-X036,HOME POSITION,,Y036
P1-X040,LIGHT LEVEL IS NORMAL,,X040
P1-X052,STOP LIGHT 7(AGV),,Y052
P1-X064,UNLINKING SWITCH 5,,X064
P1-X06A,UNLINKING SWITCH 11,,X06A
P1-X08B,,,Y08B
P1-X0B0,ROBOT FAILURE(No.9),,
P1-X404,CAR TYPE CODE BCD 10,,X404
P1-X41C,NO USE,,X41C
P1-X426,CAR TYPE CODE BCD 40,,Y426
P1-X42E,ID 14,,Y42E
P1-X431,ADDRESS 1,,Y431
P1-X441,LUGE LOCK IN END,,X441
P1-X455,RAIL LOCK OUT END 2,,X455
P1-X472,,,Y472
P1-X480,UB-TR. CAR TYPE BCD1,,X480
P1-X4C0,LOAD SELECT,,
P1-X4E4,AGV ENTERING OR EXITING,,
P1-X502,VISION-A BUSY,,X502
P1-X51F,VISION-A D015 JUDGMENT RESULT INPUT,,X51F
P1-X537,VISION-A COMMAND DO,,Y537
P1-X543,,,X543
P1-X55D,VISION-B D013 JUDGMENT RESULT INPUT,,X55D
P1-X562,VISION-B SCENE No. INPUT BIN 4,,X562
P1-X56C,VISION-B MEASUREMENT COMP.,,X56C
P1-X570,VISION-B SCENE No.CHAGE BIN 1,,Y570
P1-X57E,,,Y57E
P1-X708,,,X708
P1-X70C,UPPER FRICTION INV. OUTPUT CURRENT DETECTION,,X70C
P1-X710,UPPER FRICTION INV. ALARM CODE,,X710
P1-X725,UPPER FRICTION INV. OUTPUT FREQUENCY MONITOR,,X725
P1-X74B,UPPER FRICTION INV. PU OPERATION INTERLOCK,,Y74B
P1-X751,,,Y751
P1-X75B,,,Y75B
P1-X762,UPPER FRICTION INV. SET FREQUENCY,,Y762
P1-X002,MANUAL,,X002
P1-X00C,VISION OFF,,X00C
P1-X01E,,,Y01E
P1-X020,,,X020
P1-X037,OPERATION COMPLETED,,Y037
P1-X043,PROD. CALL (SPARE),,X043
P1-X053,GREEN LIGHT 7(AGV),,Y053
P1-X05D,,,Y05D
P1-X063,UNLINKING SWITCH 4,,X063
P1-X07D,ROBOT HOME POSITION (NO.6),,X07D
P1-X089,FAULT RESET,,Y089
P1-X08E,,,Y08E
P1-X0B7,ROBOT HOME POSITION(No.15),,
P1-X407,CAR TYPE CODE BCD 80,,X407
P1-X425,CAR TYPE CODE BCD 20,,Y425
P1-X42D,ID 13,,Y42D
P1-X432,ADDRESS 2,,Y432
P1-X43A,16/8 BIT CHANGE (8BIT NORMAL ON),,Y43A
P1-X440,LUGE LOCK OUT END,,X440
P1-X452,RAIL LOCK IN END 1,,X452
P1-X473,,,Y473
P1-X483,UB-TR. CAR TYPE BCD8,,X483
P1-X49B,NO USE,,X49B
P1-X4C1,UNLOAD SELECT,,
P1-X503,,,X503
P1-X51E,VISION-A D014 JUDGMENT RESULT INPUT,,X51E
P1-X536,,,Y536
P1-X53E,,,Y53E
P1-X544,VISION-B OR (NO UESD),,X544
P1-X54A,VISION-B CMDFLG (NO UESD),,X54A
P1-X563,VISION-B SCENE No. INPUT BIN 8,,X563
P1-X573,VISION-B SCENE No.CHAGE BIN 8,,Y573
P1-X57D,,,Y57D
P1-X709,UPPER FRICTION INV. SAFETY ALARM,,X709
P1-X713,UPPER FRICTION INV. ALARM CODE,,X713
P1-X726,UPPER FRICTION INV. OUTPUT FREQUENCY MONITOR,,X726
P1-X739,UPPER FRICTION INV. OUTPUT CURRENT MONITOR,,X739
P1-X742,UPPER FRICTION INV. LOW SPEED,,Y742
P1-X74C,,,Y74C
P1-X750,,,Y750
P1-X763,UPPER FRICTION INV. SET FREQUENCY,,Y763
P1-X005,PRODUCTION INDICATION ON(PROCESS),,X005
P1-X00B,PRODUCTION INDICATION ON(UBR1-2),,X00B
P1-X01B,ROBOT START OFF,,Y01B
P1-X027,ROBOT START OFF RELEASE,,X027
P1-X042,CHISEL CHECK PB,,X042
P1-X050,LINE CONDITION LIGHT,,Y050
P1-X05E,,,Y05E
P1-X062,UNLINKING SWITCH 3(P1:L1 S43),,X062
P1-X074,POWER SUPPLY NORMAL,,X074
P1-X07E,ROBOT FAILURE^(NO.8),,X07E
P1-X088,CHARGING COMMAND,,Y088
P1-X08D,,,Y08D
P1-X0B6,ROBOT FAILURE(No.15),,
P1-X0BC,ROBOT FAILURE(No.14),,EY1F4
P1-X0C0,FRICTION FORCED BRAKE RELEASE ON,,X0C0
P1-X406,CAR TYPE CODE BCD 40,,X406
P1-X41A,NO USE,,X41A
P1-X424,CAR TYPE CODE BCD 10,,Y424
P1-X42C,ID 12,,Y42C
P1-X433,ADDRESS 3,,Y433
P1-X43B,WRITE AREA INPUT (ID0-7 NORMAL OFF),,Y43B
P1-X443,FRICTION CONF.,,X443
P1-X453,RAIL LOCK OUT END 1,,X453
P1-X45F,AIR ON(PROCESS),,X45F
P1-X463,AGV CHARGER CONNECTING CONFIRM,,X463
P1-X474,,,Y474
P1-X482,UB-TR. CAR TYPE BCD4,,X482
P1-X48E,SPARE,,X48E
P1-X498,NO USE,,X498
P1-X49C,NO USE,,X49C
P1-X4AB,UB-TR. ID 11,,Y4AB
P1-X4C2,AGV BACK UP MODE REQUEST,,
P1-X4E2,UNLOAD COMPLETED,,Y4E2
P1-X51D,VISION-A D013 JUDGMENT RESULT INPUT,,X51D
P1-X531,VISION-A SCENE No.CHAGE BIN 2,,Y531
P1-X53D,,,Y53D
P1-X545,,,X545
P1-X54B,VISION-B LAMSTAT(NO UESD),,X54B
P1-X559,VISION-B D09 JUDGMENT RESULT INPUT,,X559
P1-X560,VISION-B SCENE No. INPUT BIN 1,,X560
P1-X56A,VISION-B SCENE CHANGE CONF.,,X56A
P1-X572,VISION-B SCENE No.CHAGE BIN 4,,Y572
P1-X706,UPPER FRICTION INV. FREQUENCY DETECTION,,X706
P1-X70A,UPPER FRICTION INV. EDIT ENABLED,,X70A
P1-X712,UPPER FRICTION INV. ALARM CODE,,X712
P1-X727,UPPER FRICTION INV. OUTPUT FREQUENCY MONITOR,,X727
P1-X738,UPPER FRICTION INV. OUTPUT CURRENT MONITOR,,X738
P1-X73C,UPPER FRICTION INV. OUTPUT CURRENT MONITOR,,X73C
P1-X743,UPPER FRICTION INV. MIDDLE SPEED,,Y743
P1-X753,,,Y753
P1-X76A,UPPER FRICTION INV. SET FREQUENCY,,Y76A
P1-X7FF,LINE CONDITION ON,,
P1-X004,PRODUCTION INDICATION OFF(PROCESS),,X004
P1-X00E,VISION OFF,,X00E
P1-X01C,,,Y01C
P1-X026,LIGHT CURTAIN STOP RESET,,X026
P1-X038,,,Y038
P1-X051,GREEN LIGHT 6 (AGV),,Y051
P1-X061,UNLINKING SWITCH 2(P1:L1 S42),,X061
P1-X075,POWER EXCHANGE FORECAST,,X075
P1-X07F,ROBOT HOME POSITION (NO.8),,X07F
P1-X0B5,ROBOT HOME POSITION(No.13),,EY25E
P1-X0BB,ROBOT HOME POSITION(No.12),,EY176
P1-X0C1,FRICTION FORCED BRAKE RELEASE AUX.,,X0C1
P1-X401,CAR TYPE CODE BCD 2,,X401
P1-X41F,REMOTE ID COMMUNICATION HS OUTPUT,,X41F
P1-X423,CAR TYPE CODE BCD 8,,Y423
P1-X42B,ID 11,,Y42B
P1-X43C,NO USE,,Y43C
P1-X442,LUGE LOCK IN CONF.,,X442
P1-X44A,,,X44A
P1-X450,LIFTER UP END,,X450
P1-X462,PARTS CONFIRM2 ON SET STAND,,X462
P1-X475,,,Y475
P1-X48D,SPARE,,X48D
P1-X499,NO USE,,X499
P1-X4AC,UB-TR. ID 12,,Y4AC
P1-X4C3,LOAD COMPLETED,,
P1-X4E3,AGV BACK UP OK ENTER,,Y4E3
P1-X51C,VISION-A D012 JUDGMENT RESULT INPUT,,X51C
P1-X522,VISION-A SCENE No. INPUT BIN 4,,X522
P1-X530,VISION-A SCENE No.CHAGE BIN 1,,Y530
P1-X546,,,X546
P1-X54C,VISION-B CMDSTAT(NO UESD),,X54C
P1-X558,VISION-B D08 JUDGMENT RESULT INPUT,,X558
P1-X561,VISION-B SCENE No. INPUT BIN 2,,X561
P1-X575,VISION-B SCENE No.CHAGE COMMAND,,Y575
P1-X57F,,,Y57F
P1-X707,UPPER FRICTION INV. FAULT,,X707
P1-X715,UPPER FRICTION INV. ALARM CODE,,X715
P1-X73B,UPPER FRICTION INV. OUTPUT CURRENT MONITOR,,X73B
P1-X740,UPPER FRICTION INV. NORMAL ROTATE,,Y740
P1-X74A,,,Y74A
P1-X752,,,Y752
P1-X76B,UPPER FRICTION INV. SET FREQUENCY,,Y76B
P1-X779,,,Y779
P1-X007,PRODUCTION INDICATION ON(PROCESS),,X007
P1-X00D,VISION ON,,X00D
P1-X025,CAR TYPE OK,,X025
P1-X039,SAFETY PLC RUN,,Y039
P1-X056,MASTER ON,,Y056
P1-X060,UNLINKING SWITCH 1(P1:L1 S41),,X060
P1-X076,MAINTENANCE PIN ON,,X076
P1-X08F,,,Y08F
P1-X0B4,ROBOT FAILURE(No.13),,EY122
P1-X0BA,ROBOT FAILURE(No.12),,EY11A
P1-X0C2,440A 4WD CONFIRM LASER TO AGV BODY,,X0C2
P1-X400,CAR TYPE CODE BCD 1,,X400
P1-X412,SPARE,,X412
P1-X422,CAR TYPE CODE BCD 4,,Y422
P1-X42A,ID 10,,Y42A
P1-X445,FRICTION LOW SPEED POSITION,,X445
P1-X451,LIFTER DOWN END,,X451
P1-X45D,,,X45D
P1-X461,PARTS CONFIRM1 ON SET STAND,,X461
P1-X476,,,Y476
P1-X49A,NO USE,,X49A
P1-X4CA,550B PARTS CONFIRM SET STAND,,
P1-X4E0,AGV BACK UP MODE REQUEST,,Y4E0
P1-X519,VISION-A D09 JUDGMENT RESULT INPUT,,X519
P1-X51B,VISION-A D011 JUDGMENT RESULT INPUT,,X51B
P1-X523,VISION-A SCENE No. INPUT BIN 8,,X523
P1-X533,VISION-A SCENE No.CHAGE BIN 8,,Y533
P1-X53F,,,Y53F
P1-X547,,,X547
P1-X54D,,,X54D
P1-X574,,,Y574
P1-X704,,,X704
P1-X714,UPPER FRICTION INV. ALARM CODE,,X714
P1-X71A,UPPER FRICTION INV. COOLING FAN ALARM,,X71A
P1-X728,UPPER FRICTION INV. OUTPUT FREQUENCY MONITOR,,X728
P1-X73A,UPPER FRICTION INV. OUTPUT CURRENT MONITOR,,X73A
P1-X741,UPPER FRICTION INV. REVERSE ROTATE,,Y741
P1-X74F,UPPER FRICTION INV. FAULT RESET,,Y74F
P1-X76C,UPPER FRICTION INV. SET FREQUENCY,,Y76C
P1-X778,,,Y778
P1-X006,PRODUCTION INDICATION OFF(PROCESS),,X006
P1-X01A,PBL11,,Y01A
P1-X024,PARTS CHECKING OFF,,X024
P1-X02C,ADVANCE,,X02C
P1-X03A,VISION FAILURE,,Y03A
P1-X04E,ROBOT FAILURE(No.7),,X04E
P1-X057,PALLET EXCHNAGE IN PROGRESS,,Y057
P1-X077,LUGE LOCK MOTOR OVERLOAD,,X077
P1-X0C3,POWER OFF CONFIRM,,X0C3
P1-X403,CAR TYPE CODE BCD 8,,X403
P1-X413,SPARE,,X413
P1-X41D,REMOTE ID COMMUNICATION ERROR ,,X41D
P1-X421,CAR TYPE CODE BCD 2,,Y421
P1-X444,FRICTION FIXED POSITION,,X444
P1-X44C,PARTS CONF.(841A),,X44C
P1-X45E,,,X45E
P1-X460,PARTS PRESENT ON SET STAND,,X460
P1-X477,,,Y477
P1-X48F,SPARE,,X48F
P1-X49F,REMOTE-ID COMMUNICATION HS OUTPUT,,X49F
P1-X4A2,UB-TR. CAR TYPE BCD4,,Y4A2
P1-X4AA,UB-TR. ID 10,,Y4AA
P1-X4E1,LOAD COMPLETED,,Y4E1
P1-X518,VISION-A D08 JUDGMENT RESULT INPUT,,X518
P1-X51A,VISION-A D010 JUDGMENT RESULT INPUT,,X51A
P1-X520,VISION-A SCENE No. INPUT BIN 1,,X520
P1-X532,VISION-A SCENE No.CHAGE BIN 4,,Y532
P1-X53A,,,Y53A
P1-X548,VISION-B JDFLG (NO UESD),,X548
P1-X54E,,,X54E
P1-X577,VISION-B COMMAND DO,,Y577
P1-X705,UPPER FRICTION INV. OVERLOAD,,X705
P1-X717,UPPER FRICTION INV. ALARM CODE,,X717
P1-X729,UPPER FRICTION INV. OUTPUT FREQUENCY MONITOR,,X729
P1-X746,,,Y746
P1-X009,PRODUCTION INDICATION ON(UBR1-2),,X009
P1-X00F,VISION ON,,X00F
P1-X02B,RETURN TO HOME POSITION,,X02B
P1-X03B,ALARM,,Y03B
P1-X04D,ROBOT HOME POSITION (No.5),,X04D
P1-X054,,,Y054
P1-X070,UPPER INVERTOR FAILURE ON(UNLINKING),,X070
P1-X07A,ROBOT FAILURE^(NO.4),,X07A
P1-X0C4,AGV LOCK UNLOCK END 1,,X0C4
P1-X402,CAR TYPE CODE BCD 4,,X402
P1-X410,SPARE,,X410
P1-X41E,REMOTE ID COMMUNICATION COMP.,,X41E
P1-X420,CAR TYPE CODE BCD 1,,Y420
P1-X447,HARD STOP PRESENT 2,,X447
P1-X44B,PARTS CONF.(COMMON),,X44B
P1-X45B,,,X45B
P1-X467,AIR ON(AGV),,X467
P1-X478,,,Y478
P1-X48A,SPARE,,X48A
P1-X4A3,UB-TR. CAR TYPE BCD8,,Y4A3
P1-X4AF,UB-TR. ID 15,,Y4AF
P1-X4B9,WRITE MODE 2(NORMAL OFF)ON-BIT.OFF-BYTE,,Y4B9
P1-X50D,,,X50D
P1-X517,VISION-A D07 JUDGMENT RESULT INPUT,,X517
P1-X521,VISION-A SCENE No. INPUT BIN 2,,X521
P1-X549,VISION-B DATAFLG (NO UESD),,X549
P1-X54F,,,X54F
P1-X576,,,Y576
P1-X702,UPPER FRICTION INV. RUNING,,X702
P1-X716,UPPER FRICTION INV. ALARM CODE,,X716
P1-X71C,UPPER FRICTION INV. HEATSINK OVERHEAT PRE-ALARM,,X71C
P1-X747,,,Y747
P1-X74D,,,Y74D
P1-X768,UPPER FRICTION INV. SET FREQUENCY,,Y768
P1-X777,,,Y777
P1-X008,PRODUCTION INDICATION OFF(UBR1-2),,X008
P1-X02A,OPERATION COMPLETED RESET,,X02A
P1-X03C,MAIN DISPLAY FAULT,,Y03C
P1-X055,CHISEL CHECK OK,,Y055
P1-X071,LOWER INVERTOR FAILURE ON(UNLINKING),,X071
P1-X07B,ROBOT HOME POSITION (NO.4),,X07B
P1-X0BF,ROBOT HOME POSITION(No.16),,EY065
P1-X0C5,AGV LOCK LOCK END 1,,X0C5
P1-X0D1,550 SELECT,,
P1-X411,SPARE,,X411
P1-X446,HARD STOP PRESENT 1,,X446
P1-X44E,PARTS CONF.4(440A/550B),,X44E
P1-X45C,LUGE ENTERING OK,,X45C
P1-X466,FRICTION DISCONNECT ON,,X466
P1-X479,,,Y479
P1-X49D,REMOTE-ID COMMUNICATION ERROR,,X49D
P1-X4A0,UB-TR. CAR TYPE BCD1,,Y4A0
P1-X4B8,WRITE MODE 1(NORMAL OFF)ON-BIT.OFF-BYTE,,Y4B8
P1-X508,VISION-A JDFLG (NO UESD),,X508
P1-X50E,,,X50E
P1-X516,VISION-A D06 JUDGMENT RESULT INPUT,,X516
P1-X526,,,X526
P1-X53C,,,Y53C
P1-X703,UPPER FRICTION INV. REACHED THE FREQUENCY,,X703
P1-X719,UPPER FRICTION INV. MAIN CIRCUIT CAPACITOR ALARM,,X719
P1-X71B,UPPER FRICTION INV. INRUSH CURRENT LIMIT CIRCUIT ALARM,,X71B
P1-X733,UPPER FRICTION INV. OUTPUT CURRENT MONITOR,,X733
P1-X73F,UPPER FRICTION INV. OUTPUT CURRENT MONITOR,,X73F
P1-X744,UPPER FRICTION INV. HIGH SPEED,,Y744
P1-X74E,,,Y74E
P1-X769,UPPER FRICTION INV. SET FREQUENCY,,Y769
P1-X776,,,Y776
P1-X018,PBL9,,Y018
P1-X03D,PRODUCTION INDICATION CUT OFF,,Y03D
P1-X049,ROBOT HOME POSITION (No.1),,X049
P1-X04F,ROBOT HOME POSITION (No.7),,X04F
P1-X072,FRICTION PANEL BRAKER ON,,X072
P1-X07C,ROBOT FAILURE^(NO.6),,X07C
P1-X0B9,ROBOT HOME POSITION(No.10),,EY0B1
P1-X0BE,ROBOT FAILURE(No.16),,
P1-X0C6,AGV LOCK UNLOCK END 2,,X0C6
P1-X0D0,841 SELECT,,
P1-X416,SPARE,,X416
P1-X438,WRITE MODE 1(NORMAL OFF) ON-BIT.OFF-BYTE,,Y438
P1-X44D,PARTS CONF.(440A),,X44D
P1-X465,AGV CONFIRM 2,,X465
P1-X489,SPARE,,X489
P1-X48C,SPARE,,X48C
P1-X492,SPARE,,X492
P1-X49E,REMOTE-ID COMMUNICATION COMP.,,X49E
P1-X4A1,UB-TR. CAR TYPE BCD2,,Y4A1
P1-X4AD,UB-TR. ID 13,,Y4AD
P1-X4B7,ADDRESS 7,,Y4B7
P1-X509,VISION-A DATAFLG (NO UESD),,X509
P1-X50F,,,X50F
P1-X515,VISION-A D05 JUDGMENT RESULT INPUT,,X515
P1-X527,,,X527
P1-X52B,,,X52B
P1-X53B,VISION-A LIGHT ON CAMERA A,,Y53B
P1-X579,VISION-B RESET CAMERA B ALARM,,Y579
P1-X700,UPPER FRICTION INV. DURING FORWARD ROTATION,,X700
P1-X718,UPPER FRICTION INV. CONTROL CIRCUIT CAPACITOR ALARM,,X718
P1-X71E,,,X71E
P1-X732,UPPER FRICTION INV. OUTPUT CURRENT MONITOR,,X732
P1-X73E,UPPER FRICTION INV. OUTPUT CURRENT MONITOR,,X73E
P1-X745,UPPER FRICTION INV. 2nd FUNCTION SELECT,,Y745
P1-X775,,,Y775
P1-X77F,,,Y77F
P1-X019,PBL10,,Y019
P1-X029,STANDBY MODE,,X029
P1-X03E,BUZZER,,Y03E
P1-X048,ROBOT FAILURE(No.1),,X048
P1-X04A,ROBOT FAILURE(No.3),,X04A
P1-X073,MOTOR THERMAL ABNORMAL PALLET,,X073
P1-X081,LUGE LOCK OUT,,Y081
P1-X0B8,ROBOT FAILURE(No.10),,EY03D
P1-X0BD,ROBOT HOME POSITION(No.14),,
P1-X0C7,AGV LOCK LOCK END 2,,X0C7
P1-X40E,SPARE,,X40E
P1-X417,SPARE,,X417
P1-X439,WRITE MODE 2(NORMAL OFF) ON-BIT.OFF-BYTE,,Y439
P1-X449,PIT FLOAT SW,,X449
P1-X45A,LIFTER BACKUP ON,,X45A
P1-X464,AGV CONFIRM 1,,X464
P1-X46C,AGV LOCK LOCK,,Y46C
P1-X47A,,,Y47A
P1-X488,SPARE,,X488
P1-X48B,SPARE,,X48B
P1-X493,SPARE,,X493
P1-X4A6,UB-TR. CAR TYPE BCD40,,Y4A6
P1-X4AE,UB-TR. ID 14,,Y4AE
P1-X4B6,ADDRESS 6,,Y4B6
P1-X514,VISION-A D04 JUDGMENT RESULT INPUT,,X514
P1-X524,,,X524
P1-X52C,VISION-A MEASUREMENT COMP.,,X52C
P1-X553,VISION-B D03 JUDGMENT RESULT INPUT,,X553
P1-X578,VISION-B COMMAND TEST OF CAMERA B,,Y578
P1-X701,UPPER FRICTION INV. DURING REVERSE ROTATION,,X701
P1-X71D,UPPER FRICTION INV. ALARM,,X71D
P1-X731,UPPER FRICTION INV. OUTPUT CURRENT MONITOR,,X731
P1-X73D,UPPER FRICTION INV. OUTPUT CURRENT MONITOR,,X73D
P1-X759,,,Y759
P1-X774,,,Y774
P1-X77E,,,Y77E
P1-X016,PBL7,,Y016
P1-X028,FAULT RESET/BUZZER RESET,,X028
P1-X02F,,,X02F
P1-X03F,MATEHAN EMPTY MODE,,Y03F
P1-X080,LUGE LOCK IN,,Y080
P1-X0CA,DEVICE NORMAL,,X0CA
P1-X40D,SPARE,,X40D
P1-X414,SPARE,,X414
P1-X448,PARTS CONF.5(500B),,X448
